Restaurant Name,Deal Title,Description,Days,Hours,Suburb,Address,Price,Updated,Website
Carlotta,Aperitivo Hour,"Selection of $9.5 bites, including Arancini Bolognese, a Mozzarella & Basil Flatbread, Polenta Chips with Parmigiano Reggiano, and more. To match, you'll find a lineup of $15 drinks, ranging from a Limoncello Spritz to the Sicilian Cala Cala Nero d'Avola.",Friday and Saturday,4pm to 6pm,Canberra,20 Scotts Crossing Canberra,,"Updated 2 weeks ago, but still check",
Carlotta,Aperitivo Hour,"Selection of $9.5 bites, including Arancini Bolognese, a Mozzarella & Basil Flatbread, Polenta Chips with Parmigiano Reggiano, and more. To match, you'll find a lineup of $15 drinks, ranging from a Limoncello Spritz to the Sicilian Cala Cala Nero d'Avola.","Monday to Thursday, Sunday",5pm to 6pm,Canberra,20 Scotts Crossing Canberra,,"Updated 2 weeks ago, but still check",
The RUC,Cheap Taps,Get the good times rolling after work with 12 Taps for $5,Monday to Friday,4pm to 5pm,Turner,54 McCaughey St Turner,$5,"Updated 2 weeks ago, but still check",
The Duxton,Schooners & Wines Happy Hour,"$6 selected schooners & $6 glasses of house red, white & sparkling",Monday to Friday,3pm to 5pm,O'Connor,8 Macpherson St O'Connor,$6,"Updated 2 months ago, but still check",
Dickson Taphouse,Taps Wines Spirits,"Selected beers on tap, select spirits and wines all $7",Monday to Saturday,4pm to 6pm,Dickson,30 Woolley St Dickson,$7,Updated 3 months ago and it's silly season - always check,
Helix Bar & Dining,Beer & Wine Happy Hour,Choose your tipple with $8 house wines and beers and take your evenings to new heights where every sip comes with amazing atrium views.,Monday to Friday,4pm to 6pm,Canberra,1 Rogan St Canberra,$8,Updated 5 months ago and it's silly season - always check,
The Valley Pub,Happy Hour,The Valley Pub invites guests to enjoy $5 schooners and house wines.,Thursday and Friday,4pm to 6pm,Wanniassa,9/38 Gartside Street Wanniassa,$5,"Updated 1 week ago, but still check",
The Southern Pub,20% off Happy Hour,20% discount on beers and house wines for happy hour,Monday to Thursday,4:30pm to 6pm,Phillip,4 Irving Street Phillip,,Updated 4 months ago and it's silly season - always check,
Loquita,Taco Tuesday,Loquita's famous taco Tuesday $4 all night (down from $7),Tuesday,5pm to 9pm,Canberra,17 Garema Place Canberra,$4,Updated 4 months ago and it's silly season - always check,
Loquita,Beer Spirits Cocktails,"$7.50 balter cerveza and $7.50 house spirits, $15.50 frozen margaritas $15 tommy's margaritas, $15 little crazy girl and $15 espresso yourself",Tuesday to Sunday,5pm to 7pm,Canberra,17 Garema Place Canberra,$7.50,Updated 4 months ago and it's silly season - always check,
Hopscotch,Hoppy hour,"Cheap drinks, good vibes, and zero excuses to miss out. Guests can enjoy beers, wines and ciders for $7",Wednesday,4pm to 6pm,Braddon,5 Lonsdale Street Braddon,$7,Updated 4 months ago and it's silly season - always check,
